id;loja-id;produto-id;produto-link;produto-preco
61;1;87949162;https://www.leroymerlin.com.br/tinta-latex-fosco-a-classica-maxx-premium-tangerina-3.6l-suvinil_87949162;110
62;1;87949722;https://www.leroymerlin.com.br/tinta-acrilica-fosco-completo-premium-uva-verde-3.6l-suvinil_87949722;130
63;1;89705756;https://www.leroymerlin.com.br/tinta-acrilica-fosca-total-sec-premium-bronze-lenda-3.6l-coral_89705756;104
64;1;88543693;https://www.leroymerlin.com.br/tinta-latex-fosco-diatex-pinta-mais-economica-cromo-3.6l-iquine_88543693;47
65;1;87088064;https://www.leroymerlin.com.br/tinta-acrilica-semibrilho-metalatex-brilho-perfeito-premium-marfim-18l-sherwin-williams_87088064;396
66;1;89705812;https://www.leroymerlin.com.br/tinta-acrilica-fosca-total-sec-premium-escrita-antiga-3.6l-coral_89705812;118
67;1;88568872;https://www.leroymerlin.com.br/tinta-acrilica-fosco-decora-paredes-premium-bronze-0.5-l-elegance_88568872;20
68;1;89732846;https://www.leroymerlin.com.br/tinta-acrilica-acetinada-acabamento-de-seda-premium-rupestre-18l-coral_89732846;433
69;1;86378936;https://www.leroymerlin.com.br/tinta-acrilica-fosco-completo-premium-mel-18l-suvinil_86378936;399
70;1;88568655;https://www.leroymerlin.com.br/tinta-acrilica-fosco-decora-paredes-premium-pistache-2.5l-elegance_88568655;52
71;1;88541453;https://www.leroymerlin.com.br/tinta-acrilica-fosco-diacryl-tripla-acao-standard-marfim-3.6l-iquine_88541453;48
72;1;88548341;https://www.leroymerlin.com.br/tinta-acrilica-fosco-diacryl-tripla-acao-standard-palha--18l-iquine_88548341;162
73;1;89705651;https://www.leroymerlin.com.br/tinta-acrilica-fosca-total-sec-premium-algas-profundas-3.6l-coral_89705651;115
74;1;87296741;https://www.leroymerlin.com.br/tinta-acrilica-semibrilho-metalatex-brilho-perfeito-premium-palha-3.6l-sherwin-williams_87296741;122
75;1;86881711;https://www.leroymerlin.com.br/tinta-acrilica-fosco-novacor-parede-mais-rendimentoe-standard-marfim-18l-sherwin-williams_86881711;224
76;1;89058081;https://www.leroymerlin.com.br/tinta-acrilica-fosco-protecao-total-premium-branco-3.6l-suvinil_89058081;126
77;1;89705833;https://www.leroymerlin.com.br/tinta-acrilica-fosca-total-sec-premium-mergulho-sereno-3.6l-coral_89705833;115
78;1;88548292;https://www.leroymerlin.com.br/tinta-acrilica-fosco-diacryl-tripla-acao-standard-branco-neve-18l-iquine_88548292;162
79;1;89705693;https://www.leroymerlin.com.br/tinta-acrilica-fosca-total-sec-premium-areia-3.6l-coral_89705693;110
80;1;90372723;https://www.leroymerlin.com.br/tinta-acrilica-premium-fosco-completo-terra-roxa-18l_90372723;414
81;1;87243051;https://www.leroymerlin.com.br/tinta-acrilica-fosco-novacor-parede-mais-rendimento-standard-erva-doce-18l-sherwin-williams_87243051;224
82;1;85179143;https://www.leroymerlin.com.br/tinta-acrilica-semibrilho-metalatex-bactercryl-premium-branco-0.9l-sherwin-williams_85179143;48
83;1;87254601;https://www.leroymerlin.com.br/tinta-acrilica-acetinado-metalatex-requinte-superlavavel-premium-perola-3.6l-sherwin-williams_87254601;128
84;1;86894255;https://www.leroymerlin.com.br/tinta-acrilica-fosco-novacor-parede-mais-rendimento-standard-perola-3.6l-sherwin-williams_86894255;74
85;1;88541446;https://www.leroymerlin.com.br/tinta-acrilica-fosco-diacryl-tripla-acao-standard-palha-3.6l-iquine_88541446;48
86;1;87106250;https://www.leroymerlin.com.br/tinta-acrilica-fosco-kem-tone-economica-economica-branco-gelo-3.6l-sherwin-williams_87106250;42
87;1;88543623;https://www.leroymerlin.com.br/tinta-latex-fosco-diatex-pinta-mais-economica-marfim-3.6l-iquine_88543623;47
88;1;89706043;https://www.leroymerlin.com.br/tinta-acrilica-premium-impermeabilizante-fosco-protecao-sol-e-chuva-escrita-antiga-18l-coral_89706043;456
89;1;85430982;https://www.leroymerlin.com.br/tinta-latex-fosco-a-classica-maxx-premium-perola-18l-suvinil_85430982;319
90;1;85184820;https://www.leroymerlin.com.br/tinta-acrilica-semibrilho-metalatex-brilho-perfeito-premium-branco-gelo-18l-sherwin-williams_85184820;435
91;1;86881816;https://www.leroymerlin.com.br/tinta-acrilica-fosco-novacor-parede-mais-rendimentoe-standard-camurca-18l-sherwin-williams_86881816;241
92;1;90570431;https://www.leroymerlin.com.br/tinta-acrilica-premium-renova-fosco-branco-3.2l-coral_90570431;84
93;1;90570424;https://www.leroymerlin.com.br/tinta-acrilica-premium-renova-fosco-branco-0.8l-coral_90570424;28
94;1;90372765;https://www.leroymerlin.com.br/tinta-acrilica-premium-fosco-completo-estrada-de-terrra-3.6l_90372765;164
95;1;87085621;https://www.leroymerlin.com.br/tinta-acrilica-fosco-perfeito-metalatex-premium-perola-3.6l-sherwin-williams_87085621;92
96;1;89705826;https://www.leroymerlin.com.br/tinta-acrilica-fosca-total-sec-premium-mergulho-sereno-18l-coral_89705826;375
97;1;87224333;https://www.leroymerlin.com.br/tinta-para-litoral-acetinado-premium-amarelo-garopaba-3.6l-sherwin-williams_87224333;115
98;1;88568662;https://www.leroymerlin.com.br/tinta-acrilica-fosco-decora-paredes-premium-verde-amazonas-2.5l-elegance_88568662;52
99;1;89705994;https://www.leroymerlin.com.br/tinta-acrilica-premium-impermeabilizante-fosco-protecao-sol-e-chuva-areia-3.6l-coral_89705994;123
100;1;87660440;https://www.leroymerlin.com.br/tinta-acrilica-fosco-protecao-sol-e-chuva-premium-branco-18l-coral_87660440;473
101;1;87107853;https://www.leroymerlin.com.br/tinta-para-litoral-acetinado-metalatex-laranja-sauipe-18l-sherwin-williams_87107853;386
102;1;87085320;https://www.leroymerlin.com.br/tinta-acrilica-fosco-perfeito-metalatex-premium-perola-18l-sherwin-williams_87085320;329
103;1;87949414;https://www.leroymerlin.com.br/tinta-latex-fosco-a-classica-maxx-premium-tangerina-18l-suvinil_87949414;319
104;1;90319180;https://www.leroymerlin.com.br/tinta-protecao-total-fosco-estrada-de-terra-3.6l-suvinil_90319180;140
105;1;89705805;https://www.leroymerlin.com.br/tinta-acrilica-fosca-total-sec-premium-escrita-antiga-18l-coral_89705805;375
